N,dt,simtime,jax_time,numpy_time,torch_time
40,0.1,40,0.04851551499999118,0.29725254699999937,0.4639256869999997
40,0.1,80,0.09600242499999467,0.7843596200000036,0.9672351769999921
40,0.1,160,0.23294410900001594,1.3628746990000025,1.588255786000019
40,0.1,320,0.3134988190000172,2.324273534000014,3.203522848999995
40,0.05,40,0.09954801699998939,1.005916343999985,0.8413399529999879
40,0.05,80,0.1764025919999881,1.2812744589999738,2.016586294999996
40,0.05,160,0.4296048039999789,3.2989983100000018,3.283602271999996
40,0.05,320,0.625366299999996,5.55535914699999,7.4596481259999905
40,0.01,40,0.37748333199999706,3.2186262780000447,4.969153101000018
40,0.01,80,0.8964229559999808,7.086570048999988,8.556155705000037
40,0.01,160,1.7091023609999638,12.079318550000039,15.138212148999969
40,0.01,320,3.7018068429999857,23.282431308000014,31.676645872999984
40,0.005,40,0.7826064419999739,5.939575958999967,7.41767216400001
40,0.005,80,1.9315872969999646,11.704439038000032,14.895074852999983
40,0.005,160,3.624011994000057,23.286443931999997,32.17624344899991
40,0.005,320,7.88705998599994,46.88573926999993,61.52756038899986
80,0.1,40,0.10281315299994276,0.9119765109999207,0.5961677589998544
80,0.1,80,0.09410890300000574,1.9192717870000706,1.2105021410000063
80,0.1,160,0.15898510099987107,3.6852819220000583,2.7611881489999632
80,0.1,320,0.3402260580000984,7.109443730000066,5.3622174930001165
80,0.05,40,0.08976097899994784,1.8105913430001692,1.275580753999975
80,0.05,80,0.1883577010000863,3.5535147470000084,2.616897622000124
80,0.05,160,0.37424561299985726,7.3904032129998996,5.153578695000078
80,0.05,320,0.6358371179999267,13.876958528999921,10.36881999100001
80,0.01,40,0.4501077450001958,8.648392478999995,6.73285857399992
80,0.01,80,0.9516478549999192,17.488143419999915,12.675450941000008
80,0.01,160,1.7951275190000615,34.81319180100013,26.166205106000007
80,0.01,320,4.101947228999961,71.58249936099992,52.80630889500003
80,0.005,40,0.9591646460000902,17.485283753999965,12.500864125999897
80,0.005,80,1.8362345969999296,35.46808910699997,27.03579528099999
80,0.005,160,3.8165720919998876,71.52851398799999,54.238574258000426
80,0.005,320,7.2620991690000665,141.0096491209997,104.25292461299978
160,0.1,40,0.0619191209998462,1.624879950000377,1.0579281099999207
160,0.1,80,0.09836542600032772,3.3193837750000057,2.129901796000013
160,0.1,160,0.17053133299987167,7.292943958000251,4.226092167999923
160,0.1,320,0.44353033000015785,12.394251181999607,8.394005118000223
160,0.05,40,0.1188145840001198,9.410198475000016,2.010066998000184
160,0.05,80,0.17228587199997492,6.013266148000184,4.237121319999915
160,0.05,160,0.3204422259996136,12.179520885999864,8.493007815000055
160,0.05,320,0.7465599550000661,24.82005712099999,16.754612716999873
160,0.01,40,0.4084229969998887,15.703179180000006,10.076169394999852
160,0.01,80,0.8244456039997203,30.238880119999976,20.60122699900012
160,0.01,160,2.01456571899962,60.66436575999978,40.40642613
160,0.01,320,3.3177154600002723,122.58961547199988,85.44923815499988
160,0.005,40,0.9562548249996325,30.816162068000267,20.686660404999657
160,0.005,80,2.0529356399997596,62.5612158290005,41.4693387060006
160,0.005,160,3.203917255000306,124.79839754299974,84.45247107499927
160,0.005,320,8.14359154900012,251.07376620000014,169.20285938300003
320,0.1,40,0.3333928370002468,6.105751150999822,2.509610442999474
320,0.1,80,0.455303525999625,10.990343976000077,4.833976050000274
320,0.1,160,0.6819553489995087,18.730398829000478,9.654775357999824
320,0.1,320,1.176687340999706,36.4738623559997,19.931289872999514
320,0.05,40,0.4668985700009216,11.449353946998599,4.927888891999828
320,0.05,80,0.7029744530009339,20.0151331699999,9.598239335000471
320,0.05,160,1.1999676380000892,36.813225136000256,22.622072668998953
320,0.05,320,2.132384145999822,90.43422905499938,39.76451857900065
320,0.01,40,1.49149401700015,53.30676721100099,25.37639968500116
320,0.01,80,3.7197362250008155,106.53841648200068,53.309136330999536
320,0.01,160,6.793368409000323,225.26292554999964,98.73483118199874
320,0.01,320,11.72023090500079,540.6311753199989,181.21750970299945
320,0.005,40,2.953864668999813,86.07043696300025,47.72359730400058
320,0.005,80,5.439565984999717,170.01529259400013,94.53986080200048
320,0.005,160,10.10644695100018,348.3388416380003,184.6699402610011
320,0.005,320,19.931683863998842,708.3972593149992,374.7235947270001
